project_ID;businessNeed_code;solutionDesign_code;build_code;integration_code;qualitySecurity_code;releaseReadiness_code;operations_code;overallReadiness;lifecycleStatus
PRJ-001;Completed;Completed;Completed;Completed;In Progress;In Progress;Not Started;0.75;In Progress
PRJ-002;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-003;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-004;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-005;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-006;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-007;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-008;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-009;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-010;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-011;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-012;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-013;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-014;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-016;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-017;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-018;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-019;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-020;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-021;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-022;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-023;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-024;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-025;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-026;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-027;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-028;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-029;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-030;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-031;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-032;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-033;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-034;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-035;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-036;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-037;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-038;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-039;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-040;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-041;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-042;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-043;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-045;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-046;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-047;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-048;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-049;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
PRJ-051;Missing Input;Not Started;Not Started;Not Started;Not Started;Not Started;Not Started;0;Early Stage
