code;name;sort
Sales Manager;Sales Manager;10
Consumer Care Manager;Consumer Care Manager;20
Supply Chain Manager;Supply Chain Manager;30
Operations Manager;Operations Manager;40
Manufacturing Manager;Manufacturing Manager;50
Finance Manager;Finance Manager;60
HR Manager;HR Manager;70
Procurement Manager;Procurement Manager;80
Legal Manager;Legal Manager;90
Compliance Manager;Compliance Manager;100
IT Operations Manager;IT Operations Manager;110
Customer Experience Manager;Customer Experience Manager;120
Corporate / Executive Sponsor;Corporate / Executive Sponsor;130
PMO Manager;PMO Manager;140
Business Process Owner;Business Process Owner;150
Division Head;Division Head;160
Other;Other;170
